Control,Status,Risk Score,Department,Owner,Created Date,Resolved Date,Framework,Control Description,Evidence,SLA Days,Access Type,MTTR Days
C0226,Completed,1,HR,Susan,2025-01-30,2025-02-03,HIPAA,Vulnerability Scan,firewall_config.png,30,Application,4.0
C0227,In Progress,8,HR,Susan,2025-01-25,,NIST,Patch Management,firewall_config.png,30,Application,
C0228,Completed,8,Finance,John,2025-01-28,2025-02-15,HIPAA,Incident Response,incident_log.txt,30,Application,18.0
C0229,In Progress,6,HR,Jane,2025-01-25,,PCI-DSS,Patch Management,firewall_config.png,7,Database,
C0230,Failed,4,Finance,Mary,2025-03-15,2025-03-26,HIPAA,User Access Review,log_patch_001.pdf,14,Database,11.0
C0231,In Progress,2,HR,David,2025-03-19,,NIST,Firewall Configuration,log_patch_001.pdf,14,Admin System,
C0232,Failed,2,Risk,Jane,2025-02-27,2025-02-28,NIST,Encryption Control,incident_log.txt,30,Application,1.0
C0233,Failed,9,Risk,Jane,2025-02-10,2025-02-20,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,7,Application,10.0
C0234,Completed,5,Finance,Mary,2025-01-25,2025-02-03,NIST,Vulnerability Scan,log_patch_001.pdf,7,Database,9.0
C0235,Completed,4,Risk,Jane,2025-03-19,2025-04-11,HIPAA,Patch Management,log_patch_001.pdf,30,Application,23.0
C0236,In Progress,1,Finance,Jane,2025-02-17,,HIPAA,Vulnerability Scan,incident_log.txt,30,Admin System,
C0237,Completed,7,Risk,Susan,2025-01-10,2025-01-14,HIPAA,Encryption Control,access_review.xlsx,30,Admin System,4.0
C0238,Completed,3,Risk,Susan,2025-03-16,2025-03-22,NIST,Vulnerability Scan,firewall_config.png,14,Application,6.0
C0239,Failed,6,Finance,Alice,2025-01-11,2025-01-27,HIPAA,Incident Response,log_patch_001.pdf,30,Admin System,16.0
C0240,Completed,5,Operations,Mark,2025-03-26,2025-03-28,HIPAA,Firewall Configuration,access_review.xlsx,14,Admin System,2.0
C0241,In Progress,5,Risk,John,2025-01-21,,HIPAA,Encryption Control,vuln_scan_report.pdf,7,Database,
C0242,In Progress,5,HR,Jane,2025-03-27,,PCI-DSS,Encryption Control,access_review.xlsx,7,Admin System,
C0243,In Progress,1,Operations,Alice,2025-02-14,,NIST,Encryption Control,incident_log.txt,14,Application,
C0244,Completed,1,Finance,Mark,2025-01-07,2025-01-30,NIST,User Access Review,vuln_scan_report.pdf,14,Application,23.0
C0245,Completed,3,Operations,Alice,2025-03-22,2025-04-09,NIST,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,18.0
C0246,In Progress,4,IT,Alice,2025-03-05,,PCI-DSS,Vulnerability Scan,access_review.xlsx,14,Application,
C0247,Completed,5,IT,John,2025-03-05,2025-03-15,NIST,Encryption Control,incident_log.txt,30,Database,10.0
C0248,In Progress,2,Risk,John,2025-01-02,,PCI-DSS,Firewall Configuration,log_patch_001.pdf,7,Admin System,
C0249,In Progress,8,Risk,Brian,2025-03-17,,PCI-DSS,Encryption Control,access_review.xlsx,30,Admin System,
C0250,In Progress,2,HR,Mary,2025-02-11,,NIST,Incident Response,log_patch_001.pdf,14,Admin System,
C0251,Completed,9,Operations,Mary,2025-03-23,2025-04-16,HIPAA,Incident Response,access_review.xlsx,30,Application,24.0
C0252,Completed,2,IT,Brian,2025-02-23,2025-03-19,HIPAA,Incident Response,log_patch_001.pdf,30,Application,24.0
C0253,In Progress,9,Risk,Brian,2025-03-16,,NIST,Patch Management,access_review.xlsx,7,Admin System,
C0254,Completed,7,Operations,Susan,2025-01-16,2025-02-02,NIST,Encryption Control,vuln_scan_report.pdf,30,Application,17.0
C0255,Completed,8,Risk,Mark,2025-01-18,2025-01-31,PCI-DSS,Patch Management,firewall_config.png,7,Application,13.0
C0256,Failed,2,Risk,Alice,2025-02-28,2025-03-24,NIST,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,24.0
C0257,In Progress,7,IT,Jane,2025-03-31,,PCI-DSS,Patch Management,log_patch_001.pdf,30,Admin System,
C0258,Failed,6,IT,Brian,2025-01-16,2025-02-03,NIST,Firewall Configuration,incident_log.txt,14,Application,18.0
C0259,Failed,4,Risk,David,2025-01-06,2025-01-28,HIPAA,Firewall Configuration,vuln_scan_report.pdf,7,Admin System,22.0
C0260,Completed,7,Finance,Mary,2025-02-26,2025-03-11,HIPAA,Firewall Configuration,firewall_config.png,14,Admin System,13.0
C0261,Failed,4,Risk,Brian,2025-02-16,2025-03-05,NIST,Vulnerability Scan,log_patch_001.pdf,14,Admin System,17.0
C0262,In Progress,2,Risk,David,2025-02-17,,PCI-DSS,Patch Management,vuln_scan_report.pdf,7,Admin System,
C0263,Completed,7,HR,David,2025-02-11,2025-02-16,HIPAA,Vulnerability Scan,access_review.xlsx,14,Application,5.0
C0264,Failed,8,HR,David,2025-03-17,2025-03-28,PCI-DSS,Encryption Control,incident_log.txt,14,Admin System,11.0
C0265,In Progress,2,HR,Susan,2025-03-01,,NIST,Patch Management,log_patch_001.pdf,14,Database,
C0266,In Progress,5,Finance,Susan,2025-03-18,,NIST,Encryption Control,vuln_scan_report.pdf,30,Admin System,
C0267,Failed,1,Finance,Jane,2025-01-04,2025-01-11,HIPAA,Encryption Control,log_patch_001.pdf,14,Database,7.0
C0268,In Progress,7,Risk,Jane,2025-01-02,,NIST,Firewall Configuration,access_review.xlsx,7,Admin System,
C0269,Completed,8,HR,David,2025-03-31,2025-04-10,HIPAA,Patch Management,firewall_config.png,30,Database,10.0
C0270,Completed,6,Finance,Mark,2025-02-28,2025-03-17,PCI-DSS,Encryption Control,vuln_scan_report.pdf,30,Database,17.0
C0271,In Progress,5,IT,Susan,2025-01-27,,HIPAA,Incident Response,log_patch_001.pdf,7,Admin System,
C0272,In Progress,6,Risk,Alice,2025-01-27,,HIPAA,Encryption Control,log_patch_001.pdf,14,Admin System,
C0273,In Progress,2,Operations,David,2025-03-20,,PCI-DSS,Incident Response,log_patch_001.pdf,30,Admin System,
C0274,In Progress,1,Risk,Alice,2025-03-13,,HIPAA,Patch Management,firewall_config.png,30,Database,
C0275,Failed,7,Operations,Alice,2025-01-07,2025-01-22,HIPAA,Vulnerability Scan,log_patch_001.pdf,30,Application,15.0
C0276,Failed,7,HR,David,2025-03-04,2025-03-22,NIST,Patch Management,incident_log.txt,14,Application,18.0
C0277,In Progress,2,Operations,Mary,2025-02-15,,PCI-DSS,Vulnerability Scan,incident_log.txt,30,Admin System,
C0278,Failed,2,HR,Mark,2025-03-04,2025-03-27,HIPAA,Vulnerability Scan,log_patch_001.pdf,7,Application,23.0
C0279,In Progress,1,IT,David,2025-01-12,,PCI-DSS,Patch Management,incident_log.txt,14,Application,
C0280,In Progress,8,Operations,Jane,2025-01-13,,PCI-DSS,Encryption Control,vuln_scan_report.pdf,7,Admin System,
C0281,In Progress,8,Risk,David,2025-02-12,,HIPAA,User Access Review,incident_log.txt,7,Database,
C0282,Completed,1,HR,Susan,2025-01-17,2025-02-08,NIST,Encryption Control,log_patch_001.pdf,30,Admin System,22.0
C0283,Completed,8,Risk,David,2025-03-04,2025-03-23,PCI-DSS,Encryption Control,access_review.xlsx,30,Application,19.0
C0284,Completed,9,Finance,Mary,2025-03-22,2025-03-24,HIPAA,Firewall Configuration,vuln_scan_report.pdf,30,Database,2.0
C0285,Failed,4,HR,Susan,2025-02-05,2025-02-09,PCI-DSS,Firewall Configuration,firewall_config.png,7,Application,4.0
C0286,Completed,1,Operations,Jane,2025-03-26,2025-03-29,NIST,Encryption Control,log_patch_001.pdf,14,Database,3.0
C0287,Completed,1,HR,John,2025-01-08,2025-01-15,NIST,Incident Response,firewall_config.png,30,Application,7.0
C0288,Failed,3,Risk,John,2025-03-10,2025-04-03,NIST,Vulnerability Scan,access_review.xlsx,30,Admin System,24.0
C0289,Completed,5,IT,Alice,2025-03-31,2025-04-18,HIPAA,Firewall Configuration,firewall_config.png,7,Application,18.0
C0290,Failed,5,HR,Mark,2025-03-21,2025-03-31,HIPAA,Encryption Control,log_patch_001.pdf,14,Application,10.0
C0291,Completed,9,Operations,Alice,2025-02-05,2025-02-12,NIST,User Access Review,log_patch_001.pdf,7,Database,7.0
C0292,Completed,2,Finance,Mary,2025-01-28,2025-02-05,HIPAA,Incident Response,access_review.xlsx,30,Application,8.0
C0293,In Progress,2,IT,Brian,2025-02-16,,NIST,Patch Management,log_patch_001.pdf,7,Admin System,
C0294,Completed,6,Finance,Jane,2025-03-17,2025-03-23,HIPAA,Encryption Control,access_review.xlsx,30,Admin System,6.0
C0295,Completed,9,HR,Mark,2025-01-30,2025-02-21,NIST,Encryption Control,access_review.xlsx,14,Admin System,22.0
C0296,Failed,1,Risk,Jane,2025-01-23,2025-01-24,PCI-DSS,Vulnerability Scan,log_patch_001.pdf,7,Database,1.0
C0297,In Progress,9,Risk,John,2025-01-16,,NIST,Incident Response,incident_log.txt,30,Database,
C0298,Completed,9,Operations,Alice,2025-01-14,2025-01-18,NIST,Firewall Configuration,access_review.xlsx,30,Application,4.0
C0299,Failed,9,Risk,Jane,2025-03-15,2025-03-29,HIPAA,Firewall Configuration,log_patch_001.pdf,30,Application,14.0
C0300,Completed,5,IT,John,2025-03-12,2025-03-29,HIPAA,Firewall Configuration,incident_log.txt,30,Application,17.0
C0301,Completed,9,Risk,Mary,2025-02-21,2025-03-13,HIPAA,Patch Management,access_review.xlsx,7,Database,20.0
C0302,Failed,4,Operations,Mary,2025-02-06,2025-02-24,HIPAA,Incident Response,incident_log.txt,30,Database,18.0
C0303,Failed,2,HR,Brian,2025-01-29,2025-02-09,HIPAA,Incident Response,vuln_scan_report.pdf,7,Application,11.0
C0304,Failed,6,HR,Jane,2025-03-08,2025-03-29,HIPAA,Firewall Configuration,vuln_scan_report.pdf,30,Database,21.0
C0305,In Progress,4,Risk,Brian,2025-01-15,,PCI-DSS,Firewall Configuration,incident_log.txt,7,Database,
C0306,In Progress,6,Finance,Susan,2025-02-16,,NIST,Vulnerability Scan,access_review.xlsx,7,Admin System,
C0307,Failed,3,HR,Mark,2025-02-15,2025-03-01,NIST,User Access Review,log_patch_001.pdf,30,Admin System,14.0
C0308,Completed,6,Risk,Jane,2025-02-21,2025-03-02,NIST,User Access Review,firewall_config.png,30,Application,9.0
C0309,In Progress,2,Operations,Mary,2025-01-19,,PCI-DSS,Encryption Control,log_patch_001.pdf,30,Application,
C0310,Completed,2,Risk,Alice,2025-03-18,2025-04-02,NIST,Encryption Control,firewall_config.png,30,Admin System,15.0
C0311,Completed,9,HR,John,2025-01-21,2025-02-02,PCI-DSS,Incident Response,firewall_config.png,14,Database,12.0
C0312,Completed,7,Operations,David,2025-03-05,2025-03-15,PCI-DSS,Incident Response,access_review.xlsx,30,Application,10.0
C0313,Completed,3,Risk,Brian,2025-02-06,2025-02-25,PCI-DSS,Patch Management,incident_log.txt,30,Application,19.0
C0314,In Progress,1,IT,David,2025-01-27,,NIST,Patch Management,log_patch_001.pdf,30,Application,
C0315,In Progress,8,Operations,Jane,2025-02-24,,PCI-DSS,User Access Review,incident_log.txt,7,Database,
C0316,Failed,6,IT,Alice,2025-01-29,2025-02-22,NIST,Encryption Control,vuln_scan_report.pdf,30,Admin System,24.0
C0317,Completed,7,Finance,Brian,2025-01-20,2025-02-08,NIST,User Access Review,access_review.xlsx,7,Application,19.0
C0318,Completed,9,Operations,David,2025-01-25,2025-01-31,HIPAA,User Access Review,access_review.xlsx,7,Admin System,6.0
C0319,Completed,5,IT,Mark,2025-03-11,2025-03-31,HIPAA,Encryption Control,vuln_scan_report.pdf,7,Admin System,20.0
C0320,Completed,1,HR,Alice,2025-03-04,2025-03-28,PCI-DSS,Patch Management,log_patch_001.pdf,7,Database,24.0
C0321,Failed,7,HR,John,2025-02-05,2025-02-11,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,14,Database,6.0
C0322,In Progress,5,Finance,Mark,2025-01-02,,NIST,Vulnerability Scan,log_patch_001.pdf,30,Database,
C0323,Failed,3,Operations,Alice,2025-01-22,2025-01-30,PCI-DSS,Vulnerability Scan,firewall_config.png,7,Database,8.0
C0324,Completed,9,Operations,Susan,2025-01-16,2025-01-17,PCI-DSS,Encryption Control,access_review.xlsx,30,Database,1.0
C0325,In Progress,1,Operations,Brian,2025-01-18,,NIST,Firewall Configuration,log_patch_001.pdf,7,Database,
C0326,In Progress,1,Finance,Mary,2025-03-10,,PCI-DSS,Firewall Configuration,incident_log.txt,14,Application,
C0327,Failed,1,Operations,John,2025-02-23,2025-03-17,PCI-DSS,Firewall Configuration,incident_log.txt,7,Admin System,22.0
C0328,Failed,3,HR,Jane,2025-01-30,2025-02-16,NIST,Incident Response,access_review.xlsx,30,Database,17.0
C0329,Completed,6,IT,Mark,2025-02-14,2025-03-03,NIST,Patch Management,vuln_scan_report.pdf,30,Application,17.0
C0330,Completed,3,HR,Mark,2025-01-19,2025-02-12,HIPAA,Patch Management,vuln_scan_report.pdf,14,Admin System,24.0
C0331,Completed,8,HR,David,2025-03-28,2025-04-12,NIST,Incident Response,log_patch_001.pdf,30,Database,15.0
C0332,In Progress,2,IT,Brian,2025-02-03,,HIPAA,User Access Review,vuln_scan_report.pdf,30,Database,
C0333,Completed,9,HR,Jane,2025-01-13,2025-01-20,PCI-DSS,Vulnerability Scan,access_review.xlsx,7,Application,7.0
C0334,Completed,3,Finance,Mary,2025-02-12,2025-03-03,NIST,Firewall Configuration,log_patch_001.pdf,30,Admin System,19.0
C0335,Completed,5,IT,Alice,2025-03-03,2025-03-25,NIST,Vulnerability Scan,firewall_config.png,7,Database,22.0
C0336,Completed,8,HR,Mary,2025-01-22,2025-02-14,NIST,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,23.0
C0337,In Progress,2,Risk,Brian,2025-02-21,,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,30,Application,
C0338,In Progress,6,HR,Brian,2025-02-21,,HIPAA,User Access Review,log_patch_001.pdf,7,Database,
C0339,Completed,5,Finance,Susan,2025-02-05,2025-02-08,PCI-DSS,Vulnerability Scan,incident_log.txt,30,Admin System,3.0
C0340,Completed,9,Operations,Susan,2025-03-14,2025-04-05,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,7,Application,22.0
C0341,Completed,5,HR,Mary,2025-01-19,2025-01-30,NIST,Encryption Control,access_review.xlsx,14,Application,11.0
C0342,Completed,2,Operations,Alice,2025-02-07,2025-02-27,HIPAA,Vulnerability Scan,vuln_scan_report.pdf,7,Database,20.0
C0343,Completed,5,Risk,Mary,2025-03-11,2025-03-30,PCI-DSS,Encryption Control,firewall_config.png,30,Admin System,19.0
C0344,Completed,4,HR,Brian,2025-03-20,2025-03-29,NIST,Patch Management,vuln_scan_report.pdf,7,Database,9.0
C0345,Completed,7,IT,Brian,2025-02-26,2025-03-08,PCI-DSS,Incident Response,incident_log.txt,30,Database,10.0
C0346,Failed,6,Operations,David,2025-01-20,2025-01-22,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,14,Admin System,2.0
C0347,Failed,2,Risk,Susan,2025-01-09,2025-01-10,NIST,Patch Management,log_patch_001.pdf,7,Admin System,1.0
C0348,Completed,5,IT,Jane,2025-02-01,2025-02-17,NIST,Encryption Control,vuln_scan_report.pdf,30,Admin System,16.0
C0349,Completed,7,IT,Jane,2025-01-04,2025-01-22,HIPAA,Vulnerability Scan,incident_log.txt,30,Application,18.0
C0350,Failed,7,IT,Jane,2025-02-19,2025-03-14,PCI-DSS,Vulnerability Scan,log_patch_001.pdf,30,Application,23.0
C0351,Failed,5,IT,David,2025-03-23,2025-04-09,NIST,User Access Review,access_review.xlsx,7,Admin System,17.0
C0352,In Progress,9,HR,John,2025-01-05,,NIST,Patch Management,log_patch_001.pdf,7,Application,
C0353,Failed,4,HR,Jane,2025-01-20,2025-01-26,HIPAA,Firewall Configuration,firewall_config.png,7,Database,6.0
C0354,Completed,3,HR,Brian,2025-03-28,2025-04-11,HIPAA,Firewall Configuration,log_patch_001.pdf,14,Admin System,14.0
C0355,Completed,4,Risk,David,2025-03-16,2025-04-08,NIST,User Access Review,access_review.xlsx,30,Database,23.0
C0356,Failed,5,Risk,Mary,2025-02-06,2025-02-21,HIPAA,Encryption Control,vuln_scan_report.pdf,30,Admin System,15.0
C0357,Completed,6,Risk,Susan,2025-01-22,2025-02-05,NIST,Firewall Configuration,log_patch_001.pdf,14,Database,14.0
C0358,Failed,3,Finance,Susan,2025-02-27,2025-03-23,PCI-DSS,Firewall Configuration,log_patch_001.pdf,14,Admin System,24.0
C0359,In Progress,2,Risk,Alice,2025-03-09,,HIPAA,Incident Response,log_patch_001.pdf,7,Database,
C0360,Failed,4,HR,Mary,2025-02-13,2025-03-07,PCI-DSS,Patch Management,log_patch_001.pdf,7,Admin System,22.0
C0361,Completed,5,HR,Alice,2025-02-03,2025-02-06,PCI-DSS,Encryption Control,access_review.xlsx,7,Admin System,3.0
C0362,Failed,4,Finance,David,2025-03-18,2025-04-11,PCI-DSS,Vulnerability Scan,incident_log.txt,7,Application,24.0
C0363,Completed,3,Finance,Mark,2025-02-11,2025-03-06,NIST,Patch Management,incident_log.txt,7,Database,23.0
C0364,Failed,8,Risk,Jane,2025-01-09,2025-01-28,PCI-DSS,Encryption Control,log_patch_001.pdf,7,Application,19.0
C0365,In Progress,4,Operations,John,2025-01-07,,PCI-DSS,Firewall Configuration,access_review.xlsx,14,Database,
C0366,Completed,2,Finance,Mary,2025-03-09,2025-03-21,PCI-DSS,Incident Response,access_review.xlsx,14,Application,12.0
C0367,In Progress,2,IT,Mary,2025-01-19,,NIST,Patch Management,log_patch_001.pdf,14,Admin System,
C0368,In Progress,1,HR,Mary,2025-01-31,,PCI-DSS,Firewall Configuration,firewall_config.png,30,Application,
C0369,Completed,4,IT,Alice,2025-02-04,2025-02-06,PCI-DSS,Encryption Control,log_patch_001.pdf,30,Application,2.0
C0370,Completed,9,HR,David,2025-02-26,2025-03-01,HIPAA,Patch Management,firewall_config.png,7,Admin System,3.0
C0371,Completed,7,HR,Mary,2025-03-26,2025-04-13,NIST,Vulnerability Scan,log_patch_001.pdf,14,Application,18.0
C0372,Completed,7,Finance,Mark,2025-03-02,2025-03-03,PCI-DSS,Patch Management,firewall_config.png,30,Admin System,1.0
C0373,Completed,7,Finance,Mary,2025-01-31,2025-02-20,HIPAA,Firewall Configuration,firewall_config.png,30,Database,20.0
C0374,Failed,8,IT,Susan,2025-03-24,2025-04-14,NIST,Patch Management,log_patch_001.pdf,14,Application,21.0
C0375,Completed,1,HR,Jane,2025-02-22,2025-02-28,NIST,Vulnerability Scan,firewall_config.png,30,Admin System,6.0
C0376,Completed,8,IT,John,2025-02-01,2025-02-06,NIST,Incident Response,vuln_scan_report.pdf,30,Admin System,5.0
C0377,In Progress,4,Operations,Jane,2025-03-07,,NIST,Incident Response,incident_log.txt,14,Application,
C0378,Completed,4,IT,Susan,2025-02-28,2025-03-01,NIST,Firewall Configuration,access_review.xlsx,30,Database,1.0
C0379,In Progress,4,Risk,Susan,2025-01-10,,NIST,Encryption Control,firewall_config.png,14,Application,
C0380,Completed,6,IT,John,2025-01-02,2025-01-21,PCI-DSS,Firewall Configuration,firewall_config.png,30,Admin System,19.0
C0381,Completed,7,Risk,Mark,2025-03-07,2025-03-08,PCI-DSS,Incident Response,access_review.xlsx,14,Database,1.0
C0382,Failed,6,Risk,David,2025-03-01,2025-03-22,PCI-DSS,User Access Review,firewall_config.png,30,Application,21.0
C0383,Failed,1,Risk,Susan,2025-03-29,2025-04-19,PCI-DSS,User Access Review,access_review.xlsx,30,Admin System,21.0
C0384,In Progress,8,Operations,David,2025-01-17,,HIPAA,Patch Management,log_patch_001.pdf,14,Application,
C0385,In Progress,7,IT,Susan,2025-01-16,,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,30,Database,
C0386,In Progress,6,IT,Brian,2025-01-16,,NIST,Patch Management,vuln_scan_report.pdf,14,Database,
C0387,Completed,6,Operations,John,2025-02-15,2025-03-03,PCI-DSS,User Access Review,incident_log.txt,14,Database,16.0
C0388,Completed,5,HR,Susan,2025-02-08,2025-02-20,PCI-DSS,Incident Response,firewall_config.png,30,Database,12.0
C0389,In Progress,6,Finance,Brian,2025-01-31,,NIST,Patch Management,incident_log.txt,7,Database,
C0390,In Progress,9,IT,Jane,2025-03-29,,PCI-DSS,Firewall Configuration,log_patch_001.pdf,30,Application,
C0391,In Progress,9,Finance,Alice,2025-01-01,,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,7,Database,
C0392,Completed,8,Operations,Brian,2025-01-11,2025-02-02,PCI-DSS,Firewall Configuration,log_patch_001.pdf,7,Database,22.0
C0393,Completed,9,HR,Mary,2025-03-26,2025-04-03,HIPAA,Vulnerability Scan,log_patch_001.pdf,30,Admin System,8.0
C0394,In Progress,8,HR,Susan,2025-01-04,,PCI-DSS,Incident Response,firewall_config.png,7,Database,
C0395,Completed,8,HR,Brian,2025-03-12,2025-03-28,NIST,Patch Management,log_patch_001.pdf,14,Admin System,16.0
C0396,In Progress,1,Operations,David,2025-01-26,,NIST,Vulnerability Scan,vuln_scan_report.pdf,14,Admin System,
C0397,In Progress,5,Risk,Alice,2025-02-19,,PCI-DSS,Firewall Configuration,incident_log.txt,7,Admin System,
C0398,Completed,4,Risk,Mark,2025-01-12,2025-01-13,PCI-DSS,Patch Management,vuln_scan_report.pdf,14,Application,1.0
C0399,In Progress,2,Finance,Susan,2025-03-22,,PCI-DSS,Patch Management,firewall_config.png,30,Application,
C0400,In Progress,8,Risk,Mary,2025-03-16,,NIST,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,
C0401,Completed,3,Risk,Mark,2025-03-06,2025-03-10,NIST,User Access Review,access_review.xlsx,7,Application,4.0
C0402,In Progress,4,HR,Brian,2025-02-16,,HIPAA,Vulnerability Scan,incident_log.txt,30,Database,
C0403,Failed,7,HR,Mark,2025-02-22,2025-03-04,HIPAA,Firewall Configuration,access_review.xlsx,14,Application,10.0
C0404,In Progress,9,Finance,Mark,2025-03-12,,HIPAA,Incident Response,access_review.xlsx,30,Database,
C0405,Completed,2,IT,Alice,2025-01-02,2025-01-13,NIST,Encryption Control,firewall_config.png,7,Database,11.0
C0406,In Progress,3,Finance,Jane,2025-01-24,,HIPAA,Firewall Configuration,log_patch_001.pdf,14,Application,
C0407,Completed,4,Finance,Mark,2025-01-04,2025-01-21,PCI-DSS,Patch Management,access_review.xlsx,30,Application,17.0
C0408,Completed,1,Operations,Mark,2025-01-19,2025-02-11,PCI-DSS,Patch Management,vuln_scan_report.pdf,30,Admin System,23.0
C0409,In Progress,7,Operations,Susan,2025-01-26,,NIST,Firewall Configuration,log_patch_001.pdf,14,Application,
C0410,Completed,2,Finance,Jane,2025-03-16,2025-03-23,HIPAA,Encryption Control,vuln_scan_report.pdf,30,Application,7.0
C0411,Completed,5,Finance,Alice,2025-02-09,2025-02-21,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,30,Application,12.0
C0412,In Progress,1,Finance,Mary,2025-02-19,,NIST,Encryption Control,log_patch_001.pdf,7,Database,
C0413,In Progress,3,Risk,Brian,2025-02-12,,HIPAA,Encryption Control,log_patch_001.pdf,7,Database,
C0414,Failed,2,Operations,Alice,2025-03-16,2025-04-06,PCI-DSS,Incident Response,vuln_scan_report.pdf,7,Database,21.0
C0415,Failed,1,Finance,Alice,2025-03-08,2025-03-15,HIPAA,Vulnerability Scan,firewall_config.png,7,Admin System,7.0
C0416,Completed,7,HR,John,2025-01-12,2025-01-24,NIST,Patch Management,incident_log.txt,7,Admin System,12.0
C0417,Completed,5,HR,Alice,2025-03-08,2025-03-23,HIPAA,Patch Management,incident_log.txt,7,Admin System,15.0
C0418,Completed,1,Risk,Jane,2025-01-27,2025-01-29,NIST,Encryption Control,firewall_config.png,14,Database,2.0
C0419,Failed,6,Risk,John,2025-02-23,2025-03-09,HIPAA,Patch Management,log_patch_001.pdf,7,Application,14.0
C0420,In Progress,5,IT,Brian,2025-03-07,,PCI-DSS,User Access Review,vuln_scan_report.pdf,30,Admin System,
C0421,In Progress,3,IT,Mark,2025-02-18,,NIST,Encryption Control,incident_log.txt,14,Admin System,
C0422,In Progress,7,IT,Susan,2025-01-16,,NIST,Patch Management,vuln_scan_report.pdf,30,Database,
C0423,Completed,9,Risk,Susan,2025-01-02,2025-01-15,NIST,User Access Review,firewall_config.png,7,Admin System,13.0
C0424,Completed,9,Risk,Brian,2025-03-01,2025-03-05,HIPAA,Incident Response,vuln_scan_report.pdf,7,Application,4.0
C0425,Completed,9,Risk,Brian,2025-02-23,2025-03-09,HIPAA,Patch Management,firewall_config.png,30,Database,14.0
C0426,Failed,2,HR,Jane,2025-01-30,2025-02-13,PCI-DSS,User Access Review,log_patch_001.pdf,30,Database,14.0
C0427,Completed,3,Risk,David,2025-03-25,2025-04-10,NIST,Firewall Configuration,firewall_config.png,30,Application,16.0
C0428,In Progress,7,HR,Mark,2025-02-07,,NIST,Vulnerability Scan,firewall_config.png,14,Application,
C0429,Completed,5,IT,Brian,2025-01-28,2025-02-04,HIPAA,Firewall Configuration,incident_log.txt,7,Application,7.0
C0430,Completed,2,IT,Alice,2025-01-25,2025-02-13,HIPAA,User Access Review,vuln_scan_report.pdf,30,Admin System,19.0
C0431,Completed,3,IT,Jane,2025-01-10,2025-01-12,PCI-DSS,Encryption Control,incident_log.txt,7,Application,2.0
C0432,In Progress,6,Finance,Susan,2025-03-01,,PCI-DSS,Encryption Control,access_review.xlsx,30,Database,
C0433,Failed,7,Finance,Mary,2025-02-11,2025-02-21,HIPAA,Patch Management,firewall_config.png,7,Application,10.0
C0434,Completed,9,Operations,Jane,2025-02-09,2025-02-27,NIST,Firewall Configuration,access_review.xlsx,14,Database,18.0
C0435,Completed,1,Operations,Susan,2025-03-18,2025-04-04,PCI-DSS,Encryption Control,incident_log.txt,7,Database,17.0
C0436,In Progress,7,Operations,John,2025-02-11,,HIPAA,Encryption Control,vuln_scan_report.pdf,30,Admin System,
C0437,Completed,8,Finance,Jane,2025-02-16,2025-02-21,HIPAA,Firewall Configuration,incident_log.txt,7,Application,5.0
C0438,In Progress,3,Finance,Susan,2025-02-06,,NIST,Incident Response,vuln_scan_report.pdf,14,Admin System,
C0439,In Progress,4,Operations,David,2025-03-21,,HIPAA,Encryption Control,vuln_scan_report.pdf,14,Application,
C0440,Completed,6,Operations,Jane,2025-01-22,2025-02-03,HIPAA,Vulnerability Scan,log_patch_001.pdf,7,Application,12.0
C0441,Completed,7,Risk,Jane,2025-02-26,2025-03-04,PCI-DSS,User Access Review,firewall_config.png,30,Application,6.0
C0442,In Progress,4,Operations,Mark,2025-03-25,,HIPAA,Patch Management,incident_log.txt,14,Application,
C0443,Completed,8,Risk,Brian,2025-01-27,2025-02-18,HIPAA,Encryption Control,vuln_scan_report.pdf,14,Application,22.0
C0444,Completed,5,HR,Mark,2025-02-10,2025-02-19,PCI-DSS,Vulnerability Scan,incident_log.txt,7,Database,9.0
C0445,In Progress,1,Finance,Jane,2025-03-21,,NIST,Vulnerability Scan,incident_log.txt,14,Database,
C0446,In Progress,4,Operations,Brian,2025-02-03,,NIST,Encryption Control,vuln_scan_report.pdf,14,Application,
C0447,In Progress,3,Finance,Susan,2025-02-01,,PCI-DSS,Incident Response,access_review.xlsx,30,Database,
C0448,In Progress,9,Finance,Mary,2025-03-31,,PCI-DSS,User Access Review,firewall_config.png,30,Admin System,
C0449,Completed,8,Finance,Mary,2025-03-30,2025-04-19,NIST,Patch Management,firewall_config.png,30,Admin System,20.0
C0450,Completed,1,HR,Jane,2025-03-07,2025-03-08,NIST,Encryption Control,log_patch_001.pdf,7,Admin System,1.0
C0451,In Progress,6,IT,David,2025-01-12,,NIST,Patch Management,log_patch_001.pdf,14,Application,
